題庫包,原CSV檔,原CSV列號,題目,正確答案原值,正確答案文字,提醒
四上社會1-2題庫,試卷_CSV(僅選擇題).csv,41,透過地圖中豐富的資訊能知道當地的自然環境特色。下列表格是快樂鄉四個村落的說明，請問哪一個村落與其他三者明顯不同？ 村落名稱 說明 A 豆豆村 特產是以山泉水製成的豆腐製品，相當聞名 B 海俠村 海鮮種類多，村中以各式海產快炒聞名 C 茶香村 製茶所林立，每年出產的茶葉供不應求 D 林木村 有許多木雕、木質精油商店，當地也有林業試驗所,2,B,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-3題庫,試卷_CSV(僅選擇題).csv,46,琳琳在學校自然課中參加了「觀察陽光」的活動，老師發給每組一個三稜鏡，請大家找出陽光的祕密。實驗後，琳琳記錄下她看到的現象，如下： 1. 我看到牆上出現了紅、橙、黃、綠、藍、靛、紫七種顏色的光。 2. 當拿掉三稜鏡時，這些顏色又變回白光。 3. 老師說這個現象跟彩虹形成有關。 （ ）琳琳看到的七種顏色，是什麼現象的結果？,2,陽光是由多種色光混合在一起，常見有七種顏色,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,2,觀察下列四季太陽高度角折線圖，下列哪一個敘述錯誤？,2,春分和秋分太陽移動的軌跡完全相同,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,8,觀察下列四季太陽高度角折線圖，無法得知哪一件事？,3,太陽從東方升起，西方落下,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,9,觀察下列的折線圖，兩條相近的太陽運行路線應該是哪兩個季節代表日？,1,春分、秋分,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,11,觀察下列的天球圖，下列哪一個敘述正確？,4,春分和秋分的太陽運行軌跡相似。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,13,觀察下列的折線圖，兩條相近的運行路線應該是哪兩個季節代表日？,1,春分、秋分,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,26,在太陽高度角折線圖中，表示一天中太陽高度角的折線會如何變化？,3,先上升再下降,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,28,小雅在晴朗的天氣觀察植物葉片的形狀，觀察結束後，她發現自己的影子正好在她的腳下方，再看看旁邊大樹的樹蔭也是在樹下，如下圖所示，依以上線索可以推測小雅觀察葉片的時間大約是,2,中午 12 時,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,33,觀察下列四季太陽高度角折線圖，下列哪一個敘述錯誤？,2,春分和秋分太陽移動的軌跡完全相同,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,41,根據下方太陽高度角折線圖，下列敘述何者正確？,4,以上皆是。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,42,根據下方太陽高度角折線圖，下列敘述何者正確？,4,以上皆是。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,63,觀察下列兩張折線圖，下列哪一個敘述錯誤？,1,一年之中，太陽高度角由大到小，再由小到大變化,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,71,觀察下列的天球圖，比較不同季節的太陽高度角變化，下列哪一個敘述正確？,3,從秋分到冬至，中午 12 時太陽高度角會愈來愈小,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,73,觀察下列四季太陽高度角折線圖，無法得知哪一件事？,3,太陽從東方升起，西方落下,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,76,阿智在一天中分別測得的太陽高度角如下，哪一個太陽高度角測得的竿影最長？,1,32 度,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,80,觀察下列兩張折線圖，下列哪一個敘述錯誤？,1,一年之中，太陽高度角由大到小，再由小到大變化,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
五上自然1-2題庫,試卷_CSV(僅選擇題).csv,81,觀察下列的天球圖，不能得到哪一個結論？,3,太陽在夏季時升起的時刻較早，冬季時升起的時刻較晚,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,4,下圖可能是哪一個日期的月相？ 東 西,2,農曆 3 月 5 日,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,10,下圖可能是哪一個日期的月相？ 東 西,2,農曆 8 月 23 日,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,23,下圖可能是哪一個日期的月相？ 東 西,3,農曆 2 月 27 日,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,36,下圖可能是哪一個日期的月相？ 東 西,2,農曆 7 月 12 日,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-3題庫,試卷_CSV(僅選擇題).csv,38,天氣晴朗無雲時，在哪個節日看到的月相最接近下圖？,4,中元節。,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-2題庫,試卷_CSV(僅選擇題).csv,33,小美分別在教室外走廊上的甲、乙、丙三個相近的地點，測量教室前榕樹頂端的高度角，結果如下表，哪一個地點距離榕樹最近？ 地點 甲 乙 丙 高度角 10° 60° 30°,2,乙,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上自然1-2題庫,試卷_CSV(僅選擇題).csv,43,阿森站在校門口用高度角觀測器測量某個景物的高度角，結果如下表，阿森最可能測量的是哪個景物？ 位置 校門口 前進 15 步 高度角 24° 24°,1,月亮,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-1題庫,試卷_CSV(僅選擇題).csv,6,地圖上常可以看到四種重要的工具，曉華在地圖上看到如下圖的標示，請問是代表什麼意思？,2,地圖縮小的比例,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
四上社會1-1題庫,試卷_CSV(僅選擇題).csv,44,不同種類的地圖可以提供不同資訊，下列是小甜甜在飯店櫃檯拿到的地圖，請問小甜甜 無法從這張地圖中得到什麼資訊？,2,知道當地的面積大小,題幹疑似依賴圖表/地圖/折線圖；若 CSV 沒有附圖，匯入後學生可能無法判斷。
